"conference_acronym","conference_name","conference_location"
"ACM-ICCES 2018","ACM-ICCES 2018 : 4th ACM - International Conference of Computing for Engineering and Sciences","Kuala Lumpur"
"ICISIP 2018","The 6th IIAE International Conference on Intelligent Systems and Image Processing 2018","Matsue, Japan"
"BI 2018","The 11th International Conference on Brain Informatics","Arlington, TX"
"IWAIPR 2018","6th Internacional Workshop on Artificial Intelligence and Pattern Recognition","La Havana, Cuba"
"Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"WSAI--Ei Compendex and Scopus 2019","2019 World Symposium on Artificial Intelligence (WSAI 2019)--Ei Compendex and Scopus","Xi'an, China"
"SML 2019","ICSC-2019 Semantic Machine Learning Workshop","California, USA"
"JoL 2018","International Journal of Law ","N/A"
"DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"IWSDS 2019","International Workshop on Spoken Dialogue Systems Technology","Siracusa, Italy"
"ICMLSC--Ei Compendex and Scopus 2019","2019 3rd International Conference on Machine Learning and Soft Computing (ICMLSC 2019)--Ei Compendex and Scopus","Da Lat, Vietnam"
"ICIAI--ACM, Ei Compendex and Scopus 2019","ACM--2019 The 3rd International Conference on Innovation in Artificial Intelligence (ICIAI 2019)--Ei Compendex and Scopus","Suzhou, China"
"EI/Scopus-CMVIT 2019","2019 3rd International Conference on Machine Vision and Information Technology (CMVIT 2019","Guangzhou,China"
"HPCaML 2019","The First International Workshop on the Intersection of High Performance Computing and Machine Learning","Washington DC"
"AMLD 2019","Applied Machine Learning Days","EPFL, Lausanne, Switzerland"
"STSIVA 2019","The XXII Symposium on Image, Signal Processing and Artificial Vision (STSIVA 2019)","Bucaramanga, Colombia"
"WAIAF 2019","WAIAF 2019 - Workshop of Artificial Intelligence Applied to Finance","ITA, Sao Jose dos Campos, SP, Brazil"
"ACM--ICMVA--Ei, Scopus 2019","ACM--2019 The 2nd International Conference on Machine Vision and Applications (ICMVA 2019)--Ei Compendex, Scopus","Tokyo,  Japan"
"MLAIJ 2018","Machine Learning and Applications: An International Journal ","N/A"
"CLD 2019","The workshop on Classifier Learning from Difficult Data","Faro, Algarve, Portugal"
"IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"CSIP 2019","6th International Conference on Signal Processing","Copenhagen, Denmark"
"CSE 2019","7th International Conference on Computational Science and Engineering","Copenhagen, Denmark"
"KALSIMIS 2019","Knowledge Acquisition and Learning in Semantic Interpretation of Medical Image Structures","Prague, Czech Republic"
"COINS-ST  2019","Special Sessions: Face Recognition | Blockchain for Internet of Things (IoT) | Cyber-physical Systems | Critical System Design | Stacking Many-core Systems and Architectures","Crete, Greece "
"ICRIS--Ei and Scopus 2019","2019 The 2nd International Conference on Robotics and Intelligent System (ICRIS 2019)--Ei Compendex and Scopus","Warsaw, Poland"
"P2PANS 2019","International Workshop on Peer-to-Peer Architectures, Networks, and Systems","Leuven, Belgium"
"RVSS 2019","Robotic Vision Summer School","Kioloa, Australia"
"ICMLC--ACM, Ei and Scopus 2019","2019 11th International Conference on Machine Learning and Computing (ICMLC 2019)--ACM, Ei Compendex and Scopus","Zhuhai, China"
"MIND 2019","1st International Conference on Machine Learning, Image Processing, Networks and Data Sciences","Kurukshetra, India"
"FAIML 2019","2019 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2019)","Rome,Italy"
"2W2T-EI/Scopus/CPCI 2019","2019 International Conference on Advances in Water and Wastewater Treatment Technologies (2W2T 2019)","Shenzhen, China"
"ICCMIT 2019","Special Session on Advances in Data Science Theory and Interdisciplinary Applications - 5th International Conference on Communication, Management and Information Technology","Vienna, Austria"
"IWCMC 2019 ML Workshop 2019","The 15th International Conference on Wireless Communications and Mobile Computing Machine learning Workshop","Tangier, Morocco"
"NCCC 2019","National Conference on Cognitive Computing","Presidency University, Bengaluru"
"CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"ARISE 2019","Activity Recognition in Smart Environments (ARISE)","Leuven, Belgium"
"CORES 2019","11th International Conference on Computer Recognition Systems CORES 2019","Polanica Zdroj, Poland"
"LION 2019","Learning and Intelligent Optimization","Chania, Greece"
"DLAMC 2019","Special Track on Deep Learning Applications in Medical Care 2019","C¨®rdoba, Spain"
"DSA 2019","The Frontiers in Intelligent Data and Signal Analysis DSA 2019","New York"
"MLDM 2019","15th International Conference on Machine Learning and Data Mining MLDM 2019","New York"
"ICC2019 DDINS Workshop 2019","ICC2019 First International Workshop on Data Driven Intelligence for Networks and Systems","Shanghai"
"SI-JBR 2019","Special Issue on EEG Signal Processing and Machine Learning for Epileptic Seizure Detection and Prediction","N/A"
"SOCO 2019","14th International Conference on Soft Computing Models in Industrial and Environmental Applications","Seville, Spain"
"EMC2 2019","Workshop On Energy Efficient Machine Learning And Cognitive Computing For Embedded Applications","Washington D.C., USA"
"WSOM+ 2019","13th International Workshop on Self-Organizing Maps and Learning Vector Quantization, Clustering and Data Visualization","Barcelona, Spain"
"COMPSAC  2019","COMPSAC 2019: Data Driven Intelligence for a Smarter World","Milwaukee, Wisconsin, USA"
"ICML 2019","36th International Conference on Machine Learning","Long Beach, CA, USA"
"EI-IC4M 2019","2019 4th International Conference on Mechanical, Manufacturing, Modeling and Mechatronics (IC4M 2019)","Nice, France"
"ICFCA 2019","The 15th International Conference on Formal Concept Analysis","Frankfurt, Germany"
"iDSC 2019","2nd International Data Science Conference","Salzburg / Austria"
"SmartComp 2019","5th IEEE International Conference on Smart Computing","Washington DC USA"
"FGCS 2019","Special Issue on Social and Intelligent Applications for Future Cities","N/A"
"ICETT--EI and Scopus 2019","2019 5th International Conference on Education and Training Technologies (ICETT 2019)--EI Compendex and Scopus","Seoul, South Korea"
"ICIST--Ei Compendex, Scopus 2019","2019 The 2nd International Conference on Intelligent Science and Technology (ICIST 2019)--Ei Compendex, Scopus","Durham University, United Kingdom"
"ICMLT--Ei and Scopus 2019","2019 4th International Conference on Machine Learning Technologies (ICMLT 2019)--Ei Compendex and Scopus","Jiangxi, China"
"Data Science  2019","2nd Annual International Great Lakes Data Science Symposium","Erie, PA"
"DataViz&Science@ILRN 2019","Special Track on Data Visualization and Engaging Science @ ILRN 2019","London, UK"
"SDS 2019","Call for Papers / Participation The 6th Swiss Conference on Data Science (IEEE technically co-sponsored)","Bern, Switzerland"
"COLT 2019","Computational Learning Theory","Phoenix, AZ, USA"
"MPP 2019","8th Workshop on Parallel Programming Models - Special Edition on IoT and Machine Learning","Rio de Janeiro, Brazil"
"DSBFI 2019","ISSAT International Conference on Data Science in Business, Finance and Industry","Da Nang, Vietnam"
"CGI 2019","Computer Graphics International ","Calgary, Alberta, Canada"
"DSIS 2019","ISSAT International Conference on Data Science and Intelligent Systems","Las Vegas, Nevada, USA"
"EDML 2019","1st Workshop on Evaluation and Experimental Design in Data Mining and Machine Learning @ SDM 2019","Calgary"
"IWPR--Ei and Scopus 2019","2019 the 4th International Workshop on Pattern Recognition (IWPR 2019)--Ei Compendex and Scopus","Nanjing, China"
"SmartSys 2019","Smart Systems: bringing together computer vision, sensor networks and machine learning","Faro, Portugal"
"HPML 2019","2nd High Performance Machine Learning Workshop","Cyprus"
"AFFECTPH 2019","Workshop on Affective Computing in Pervasive Health","Trento, Italy"
"MDPI Information 2019","MDPI OA Journal of Information Science, Technology and Engineering --SI on Machine Learning for Cyber-Security ","N/A"
"EDM 2019","The 12th International Conference on Educational Data Mining","Montreal, Canada"
"MLCS-MDPI 2019","Special issue on Machine Learning for Cyber-Security (MDPI Journal of INFORMATION)","N/A"
"IbPRIA 2019","8th Iberian Conference on Pattern Recognition and Image Analysis","Madrid"
"ICCV 2019","International Conference on Computer Vision","Seoul, Korea"
"IEEE AIKE 2019","IEEE International Conference on Artificial Intelligence and Knowledge Engineering","Cagliari, Italy"
"mlforhc 2019","Machine Learning for Healthcare","Ann Arbor, MI"
"ICDMML 2019","¡¾ACM ICPS EI SCOPUS¡¿2019 International Conference on Data Mining and Machine Learning","Hong Kong"
"WISH 2019","IEEE International Workshop on Integrated Smart Healthcare","Milwaukee"
"Randomized Neural Networks 2019","Special Issue on Advances in Randomized Neural Networks","N/A"
"CAIP 2019","Computer Analysis of Images and Patterns","Salerno, Italy"
"AI-ML-BCI-BMI 2019","Special Issue on Advances in Artificial Intelligence and Machine Learning for BCI/BMI - Bioengineering journal","N/A"
"MLESP 2019","Special Issue on Machine Learning for EEG Signal Processing (MLESP 2018) - Computers (MDPI journal)","N/A"
"TOOLS 2019","Technology of Object-Oriented Languages and Systems","Innopolis, Russia"
"COMML 2020","International Conference on Optimization, Metaheuristics and Machine Learning","Xi'an"
"CSITS 2018","International Workshop on Cyber Security for Intelligent Transportation Systems","Barcelona, Spain"
"Journal Special Issue 2019","Machine Learning on Scientific Data and Information","Hong Kong"
"Biometrics 2019","Special Issue on Recent Advances in Biometrics and its Applications","N/A"
"user2agent 2019","IUI 2019 Workshop on User-Aware Conversational Agents","Los Angeles "
"ICAIIC 2019","Internation Conference on Artificial Intelligence in  Information and Communication","Okinawa, Japan"
"ISBDAI 2018","2018 International Symposium on Big Data and Artificial Intelligence","Hong Kong"
"Advances in HPC for AI 2019","Elsevier JPDC - Special Issue on Advances on Parallel and High Performance Computing for AI Applications","N/A"
"PerAwareCity 2019","Fourth IEEE International Workshop on Pervasive Context-Aware Smart Cities and Intelligent Transportation Systems","Kyoto, Japan"
"MLNLP-EI/Scopus 2018","2018 International Conference on Machine Learning and Natural Language Processing (MLNLP 2018)","Sanya, China"
"IMCS 2018","Information Management and Computer Science","N/A"
"SemEx 2019","1st Workshop on Semantic Explainability","Newport Beach, California"
"ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"WIA 2019","Women in Analytics Conference","Columbus, OH"
"CBR@FLAIRS 2019","CBR@FLAIRS 2019 : FLAIRS-32 Special Track on Case-Based Reasoning","Sarasota, FL"
"AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"ICCIDS 2019","International Conference on Computational Intelligence in Data Science","Chennai"
"AAAI-MAKE 2019","AAAI 2019 Spring Symposium on Combining Machine Learning with Knowledge Engineering","Stanford University, Palo Alto, CA, USA"
"AKBC 2019","1st Conference on Automated Knowledge Base Construction (AKBC)","Amherst, MA"
"CLIN 2019","Computational Linguistics in the Netherlands","Groningen, The Netherlands"
"ASPAI 2019","First International Conference on Advances in Signal Processing and Artificial Intelligence (ASPAI' 2019)","Barcelona"
"WristSense 2019","The 5th WristSense Workshop on Sensing Systems and Applications Using Wrist Worn Smart Devices.","Kyoto, Japan"
"CiDaS 2019","CiDaS 2019, Contemporary Issues in Data Science, The International Conference on","Zanjan, Iran"
"ICACCP 2019","Second International Conference on Advanced Computational and Communication Paradigms  (ICACCP-2019) ","Gangtok, Sikkim, India"
"AISC  2018","6th International Conference on Artificial Intelligence, Soft Computing ","Dubai,UAE"
"ITNG 2019","16th International Conference on Information Technology: New Generations","Las Vegas, NV"
"SI-TNNLS-SMLMATA 2018","TNNLS Special Issue on Structured Multi-output Learning: Modelling, Algorithm, Theory and Applications","N/A"
"QCAV  2019","Quality Control By Artificial Vision","Mulhouse, FRANCE"
"EuroGP 2019","THE 22nd EUROPEAN CONFERENCE ON GENETIC PROGRAMMING","Leipzig"
"SEAHF 2019","International Conference on Smart Innovation, Ergonomics and Applied Human Factors","Madrid, Spain"
"MIND 2019","1st International Conference on Machine Learning, Image Processing, Networks and Data Sciences","Kurukshetra, India"
"ICxS 2019","4th Special Session on Intelligent and Contextual Systems (1000 USD grant)","Yogyakarta, Indonesia"
"ICASSP 2019","Special Session on LEARNING METHODS IN COMPLEX AND HYPERCOMPLEX DOMAINS","Brighton, UK"
"AIR 2018","The 3rd International Conference on Artificial Intelligence and Robots (AIR 2018)","Sanya, China"
"FEAP-AI4Fin 2018","NIPS 2018 Worksop on Challenges and Opportunities for AI in Financial Services: the Impact of Fairness, Explainability, Accuracy, and Privacy","Montreal, Canada"
"IWSDS 2019","International Workshop on Spoken Dialogue Systems Technology - Call for Workshops and Special Sessions","Siracusa, Italy"
"BDMIOM 2018","The 1st International Workshop on Big Data for Marketing Intellegence and Operation Management","Seattle, WA"
"IRASL 2018","Interpretability and Robustness in Audio, Speech, and Language (NIPS 2018 Workshop)","Palais des Congr¨¨s de Montr¨¦al, Canada"
"AutoML 2018","The Second International Workshop on Automation in Machine Learning and Big Data","Seattle, WA, USA"
"FinancialNews&Data-IEEEBigData2018","The 2nd International Workshop on Big Data for Financial News and Data","Seattle, WA, USA"
"ACMLC--Scopus 2018","2018 2nd Asia Conference on Machine Learning and Computing (ACMLC 2018)--Scopus","Ho Chi Minh, Vietnam"
"AINY 2019","The AI Conference NY 2019","New York, NY"
"AICCC--ACM, EI Compendex, Scopus 2018","ACM--2018 Artificial Intelligence and Cloud Computing Conference (AICCC 2018)--EI Compendex, Scopus","Tokyo, Japan"
"SDM 2019","2019 SIAM International Conference on Data Mining","Hyatt Regency Calgary, Calgary, Alberta,"
"NICDL 2018","Nature-Inspired Computation in Data Mining and Machine Learning","Call for Book Chapters"
"Scopus-EI-MSME 2018"," 2018 International Conference on Materials Science and Manufacturing Engineering (MSME 2018)","Paris, France"
"PAKDD 2019","Pacific-Asia Conference on Knowledge Discovery and Data Mining","Macau, China"
"IUI 2019","ACM Conference on Intelligent User Interfaces","Los Angeles, USA"
"MLESP 2018","The 1st International Workshop on Machine Learning for EEG Signal Processing","Madrid, Spain"
"iFUZZY 2018","2018 International Conference on Fuzzy Theory and Its Applications","Daegu, South Korea"
"CIARP 2018","23rd Iberoamerican Congress on Pattern Recognition","Madrid, Spain"
"MLHRM 2018","Workshop on Machine Learning Approaches in High Resolution Microscopy Imaging","Madrid, Spain"
"AISTATS 2019","The 22nd International Conference on  Artificial Intelligence and Statistics","Naha, Okinawa, Japan"
"AISTATS 2019","The 22nd International Conference on  Artificial Intelligence and Statistics","Naha, Okinawa, Japan"
"CoDS-COMAD YRS 2019","CoDS-COMAD 2019 Young Researchers Symposium","Kolkata, India"
"ICPRAM 2019","8th International Conference on Pattern Recognition Applications and Methods","Prague, Czech Republic"
"Com-IT-Con 2019"," International Conference on Machine Learning, Big Data, Cloud and Parallel Computing: Trends, Perspectives and Prospects","faridabad, Haryana"
"VISAPP 2019","14th International Conference on Computer Vision Theory and Applications","Prague, Czech Republic"
"MLOSS 2018","Machine Learning Open Source Software 2018: Sustainable communities","Palais des Congr¨¨s de Montr¨¦al, Canada"
"MLOSS  2018","NIPS workshop on Machine Learning Open Source Software","NIPS Montreal"
"SysML 2019","SysML Conference","Stanford, CA"
"ICLR 2019","International Conference for Learning Representations","New Orleans"
"ACM--SPML--EI Compendex, Scopus 2018","ACM--2018 International Conference on Signal Processing and Machine Learning (SPML 2018)--EI Compendex, Scopus","Shanghai, China"
"BDML--Ei Compendex and Scopus 2018","2018 International Conference on Big Data and Machine Learning (BDML 2018)--Ei Compendex and Scopus","Nagoya, Japan"
"IEEE SITIS - MIRA 2018","IEEE SITIS2018 - Workshop on Multimedia Information Retrieval and Applications","Las Palmas de Gran Canaria, Spain"
"CVM 2019","Computational Visual Media Conference","Bath, United Kingdom"
"DIDL 2018","Second Workshop on Distributed Infrastructures for Deep Learning","Rennes, France"
"FG 2019","The 14th IEEE International Conference on Automatic Face and Gesture Recognition","Lille, France"
"TAAI 2018","The 2018 Conference on Technologies and Applications of Artificial Intelligence","Taichung, Taiwan"
"LXAI@NIPS 2018","Latinx in AI @ NIPS 2018","Montreal Convention Center"
"WSDM Tutorials 2019","Call for Tutorials -- WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining @ Melbourne, Australia, Feb. 11-15, 2019","Melbourne, Australia"
"IEEE--ISCMI--EI Compendex and Scopus 2018","2018 IEEE 5th Intl. Conference on Soft Computing & Machine Intelligence (ISCMI 2018)--EI Compendex and Scopus","Nairobi, Kenya"
"CIBI 2018","International Workshop on Computational Intelligence for Brain Imaging (CIBI)","Arlington, Texas, USA "
"MLPMEA 2018","Special Session On Machine Learning for Predictive Models in Engineering Applications, ICMLA 2018","Orlando, Florida, USA"
"DeepLearning CAD 2018","Deep Learning for Computer-Aided Diagnosis (CAD) systems- IPAS 2018- Special Session","Nice- France"
"RECPAD 2018","24th Portuguese Conference on Pattern Recognition ","Coimbra"
"SVSS 2018","International Workshop on the Security of Video Surveillance Systems","Auckland, New Zealand"
"MLN 2018","International Conference on Machine Learning for Networking","Paris"
"DEC-NYC 2018","DataEngConf NYC '18","Columbia University"
"MIKE 2018","MIKE 2018: 6th International Conference on Mining Intelligence and Knowledge Exploration","Cluj - Napoca, Romania"
"ICMV--SPIE, Scopus, Ei Compendex 2018","SPIE--2018 The 11th International Conference on Machine Vision (ICMV 2018)--Scopus, Ei Compendex","Munich, Germany"
"LPKM 2018","International Workshop on Language Processing and Knowledge Management","Tunisia Sfax"
"WSDM Demonstrations 2019","Call for Demonstrations -- WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining @ Melbourne, Australia, Feb. 11-15, 2019","Melbourne, Australia"
"MLHPC 2018","The 4th Workshop on Machine Learning in HPC Environments - in conjunction with Supercomputing","Dallas, TX, USA"
"DEDA SI  2018","Data-Enabled Discovery and Applications: Special Issue on Data Science and Interdisciplinary Research","N/A"
"CRoNe 2018","4th Congress con Robotics and Neuroscience","Valpara¨ªso, Chile"
"NGDS 2018","Call for the 2018 Next Generation Data Scientist (NGDS) Award","Turin, Italy"
"CIMA 2018","8th International Workshop on Combinations of Intelligent Methods and Applications","Volos, Greece"
"DIT 2018","Workshop on Data-Driven Intelligent Transportation (in Conjunction with ICDM'18)","Singapore"
"ICITCS 2018","8th International Conference on IT Convergence and Security","Bangkok Thailand"
"Call for Chapter Proposals 2018","Neutrosophic Sets - Theory and Applications","Science Gate Publishing"
"ICAAI--ACM, Ei Compendex, Scopus 2018","ACM--2018 The 2nd International Conference on Advances in Artificial Intelligence (ICAAI 2018)--Ei Compendex, Scopus","Barcelona, Spain"
"FAT* 2019","2019 Conference on Fairness, Accountability, and Transparency","Atlanta, USA"
"ADMiS 2018","International Workshop on Adapting Data Mining for Security 2018","Singapore"
"ACML-MoL 2018","ACML 2018 Workshop on Multi-output Learning","Beijing, China"
"CCIOT 2018","The 2018 International Conference on Cloud Computing and Internet of Things - CCIOT 2018","Nanyang Executive Centre in Nanyang Tech"
"CCVW 2018","Seventh Croatian Computer Vision Workshop","Zagreb, Croatia"
"RiTA 2018","The 6th International Conference on Robot Intelligence Technology and Applications","Kuala Lumpur, Malaysia"
"IDAA 2018","International Workshop of Intelligent Data Analytics and Applications (Joint with JSAI International Symposia on AI)","Japan"
"TIST Special Issue  2018","ACM TIST Special Issue on Advances in Causal Discovery and Inference","N/A"
"ICTC 2018","The 9th International Conference on Information and Communication Technology Convergence ","Jeju Island, Korea"
"WSDM 2019","WSDM 2019: The 12th ACM International Conference on Web Search and Data Mining","Melbourne, Australia"
"ICCBB 2018","2018 International Conference on Cloud (Edge)  Computing, Big Data and Blockchain","Fuzhou"
"SEUNet 2018","The THIRD WiMob 2018 Workshop on Smart Environments & Urban Networking (SEUNet 2018)","Limassol, Cyprus"
"DELL@ICDM 2018","[CFP] IEEE ICDM 2018 Workshop on Developmental Learning (DELL 2018)","Singapore"
"SAREC 2018","1st Workshop on Scalable and Applicable Recommendation Systems","Singapore"
"WDKE 2018","Second Workshop on Data and Knowledge Engineering","Iquique, Chile"
"MLMI--Ei Compendex, Scopus 2018","ACM--2018 International Conference on Machine Learning and Machine Intelligence (MLMI 2018)--Ei Compendex, Scopus","Hanoi, Vietnam"
"ACML 2018","The 10th Asian Conference on Machine Learning","Beijing, China"
"BDCC 2018","EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing","Coimbatore, India"
"CEMi  2018","CEMi 18 - International Workshop on Computing, Electromagnetics, and Machine Intelligence","Stellenbosch, South Afr<U+0131>ca"
"SIR 2018","CIKM 2018 Workshop on Social Interaction-based Recommendation","Turin (Italy)"
"INTESA 2018","INTelligent Embedded Systems Architectures and Applications (EXTENDED)","Turin, Italy"
"INTETAIN 2018","First Call for Papers Intetain 2018 is Open for Submissions! Part of SmartCity360¡ã 2018 | Guimar<U+00E3>es, Portugal","Guimar<U+00E3>es"
"Creative Technologies 2018","Machine Learning and Nature Inspired Computing based Innovative Applications","N/A"
"(HCI-DS) 2018","Workshop on the Interplay between Human-Computer Interactionand Data Science ","Madrid - Spain"
"IWAISe 2018","2nd International Workshop on A.I. in Security","Dublin"
"PIRM 2018","ECCV 2018- Perceptual Image Restoration and Manipulation workshop and challenges on image super-resolution, mobile photo enhancement and spectral reconstruction","Munich, Germany"
"WITCOM  2018","The 7th International Congress of   Telematics & Computing","Mazatlan, Sinaloa, M¨¦xico"
"REVEAL 2018","RecSys Workshop on Offline Evaluation for Recommender Systems","Vancouver, CA"
"IAL@ECMLPKDD 2018","Interactive Adaptive Learning","Dublin, Ireland"
"KDAH-CIKM 2018","KNOWLEDGE-DRIVEN ANALYTICS IMPACTING HUMAN QUALITY OF LIFE-CIKM","Turin, Italy"
"FATREC 2018","The 2nd FATREC Workshop on Responsible Recommendation","Vancouver, Canada"
"AusDM2018-Call For Tutorials 2018","Australasian Data Mining Conference (AusDM) 2018 - Call For Tutorials","Bathurst, NSW, Australia"
"Special Issue 2018","Journal Special Issue: Sensors (SCI and EI)","China"
"DMD 2018","Shared task on Detecting Malicious Domain names (DMD 2018)","Bangalore"
"DLRS 2018","3rd Workshop on Deep Learning for Recommender Systems","Vancouver"
"recsysktl 2018","The 2nd Workshop on Intelligent Recommender Systems by Knowledge Transfer & Learning","Vancouver, Canada"
"DARE 2018","ECMLPKDD 2018, 6th International Workshop on Data Analytics for Renewable Energy Integration","Dublin, Ireland"
"IDEAL  2018","19th International Conference on Intelligent Data Engineering and Automated Learning","Madrid"
"Punecon 2018","IEEE PuneCon 2018","Pune"
"HPML 2018","High Performance Machine Learning","Lyon - France"
"DSHCM  2018","The 2nd International Workshop on Data Science for Human Capital Management (colocated with ECML-PKDD'18)","Dublin, Ireland"
"LIDTA 2018","2nd International Workshop on Learning with Imbalanced Domains - Theory and Applications (@ECML/PKDD 2018)","Dublin, Ireland"
"CVRSUAD 2018","Workshop for Road Scene Understanding and Autonomous Driving at ECCV 2018","Munich, Germany"
"GCPR 2018","German Conference on Pattern Recognition","Stuttgart, Germany"
"Green Data Mining 2018","1st International Workshop on Energy Efficient Data Mining and Knowledge Discovery","Dublin, Ireland"
"MIDAS 2018","MIDAS @ECML-PKDD 2018 - 3rd Workshop on MIning DAta for financial applicationS","Dublin, Ireland"
"MLSA 2018","Machine Learning and Data Mining for Sports Analytics (Workshop @ ECML/PKDD 2018)","Dublin, Ireland"
"NEMESIS 2018","1st Workshop on Recent Advances in Adversarial Machine Learning - ECML/PKDD","Dublin, Ireland"
"WiCV @ ECCV 2018","5th Women in Computer Vision Workshop at ECCV 2018","Munich"
"ACISCMI 2018","Advanced Computational Intelligence and Soft Computing in Medical Imaging (Journal of Medical Systems, IF: 2.456)","N/A"
"Big Data 2018","The 6th International Workshop on Big Data","China"
"AI-learning 2018","The First International Workshop on AI & Deep Learning","China"
"ICIC 2018","1st International Conference on Intelligent Computing","Amrita School of Engineering Bengaluru"
"EUVIP 2018","7th European Workshop on Visual Information Processing","Tampere, Finland"
"DS 2018","21st International Conference on Discovery Science","St. Raphael Resort, Limassol, Cyprus"
"Kaleidoscope 2018","ITU Kaleidoscope 2018 - Machine learning for a 5G future","Santa Fe, Argentina"
"CogniNets 2018","IEEE Workshop on Cognitive Networks","Chicago, USA"
"MASES 2018","1st International Workshop on Machine Learning and Software Engineering in Symbiosis","Montpellier, France"
"SPIE--ICRMV--Scopus, Ei and CPCI 2018","SPIE--2018 3rd International Conference on Robotics and Machine Vision (ICRMV 2018)--Scopus, Ei Compendex and CPCI","Chengdu, China"
"ICCIDE 2018","International Conference on Computational Intelligence and Data Engineering","GUNTUR"
"IEEE ICBK 2018","The 9th IEEE International Conference on Big Knowledge","Singapore"
"GRAIL 2018","2nd International Graphs in Biomedical Image Analysis Workshop [DEADLINE EXTENDED]","Granada, Spain"
"ROMAN_CVML 2018","IEEE ROMAN Computer Vision and machine learning","Nanjing"
"GLOBECOM MLComm 2018","IEEE Globecom¡¯18 Workshop on Machine Learning for Communications","Abu Dhabi, UAE"
"IWTDS 2018","International Workshop on Text Data Science","yichang, china"
"CoRL 2018","Conference on Robot Learning","Z¨¹rich, Switzerland"
"KAM 2018","24th Conference on Knowledge Acquisition and Management (KAM¡¯18)","Pozna¨½, Poland"
"LABELS 2018","Large-scale Annotation of Biomedical data and Expert Label Synthesis","Granada, Spain"
"IWAIPR 2018","6th Internacional Workshop on Artificial Intelligence and Pattern Recognition","La Havana, Cuba"
"GlobalSIP 2018","2018 6th IEEE Global Conference on Signal and Information Processing","Anaheim, California, USA"
"GCCE-OS-DSC 2018","IEEE GCCE 2018 Organized Session on Data Science and Its Application to Consumer Technology","Nara, Japan"
"KDML 2018","Workshop on Knowledge Discovery, Data Mining and Machine Learning","Mannheim"
"InWebTech  2018","Special Session on Innovations in Web Technologies","Wroclaw, Poland"
"SNMAM 2018","Track on Social Network and Media Analysis and Mining - SIMBig 2018","Lima, Peru"
"ICDM 2018","IEEE International Conference on Data Mining","Singapore"
"PRAI--ACM, Ei and Scopus 2018","ACM--2018 the International Conference on Pattern Recognition and Artificial Intelligence (PRAI 2018)--Ei Compendex and Scopus","Union, NJ, USA"
"GRCon 2018","GNU Radio Conference 2018","Henderson, NV, US"
"AINL 2018","Artificial Intelligence and Natural Language","Saint Petersburg, Russia"
"AI4BPM 2018","Artificial Intelligence for Business Process Management Workshop (AI4BPM 2018)","Sydney"
"IFIP IIP 2018","10th International Conference on Intelligent Information Processing","Nanning"
"ICMI EAT  2018","ICMI Audio/Visual Eating Analysis & Tracking Challenge","Boulder, CO, USA"
"DSDAH -  2018","1ST WORKSHOP ON DATA SCIENCE FOR DIGITAL ART HISTORY - TACKLING BIG DATA ","London, UK"
"CredISData@DSAA 2018","CFP: SPECIAL SESSION on Sentiment, Emotion, and Credibility of Information in Social Data @DSAA-2018 ","Turin (Italy)"
"MLMH 2018","2018 KDD workshop on Machine Learning for Medicine and Healthcare","London"
"VS3 2018","VS3 2018: Vision and Sports Summer School 2018","Prague, Czech Republic"
"LLARLA 2018","2nd Workshop on Lifelong Learning: A Reinforcement Learning Approach @ICML/IJCAI 2018.","Stockholm, Sweden"
"CausalML 2018","ICML / IJCAI / AAMAS Workshop on Machine Learning for Causal Inference, Counterfactual Prediction, and Autonomous Action","Stockholm"
"WISDOM 2018","7th KDD Workshop on Issues of Sentiment Discovery and Opinion Mining ","London, UK"
"IEEE CA2V 2018","2nd International Workshop on Connected, Automated and Autonomous Vehicles","Madrid, Spain"
"IBERAMIA  2018","16th Ibero-American Conference on Artificial Intelligence","Trujillo, Peru"
"BOOM 2018","3rd IJCAI International Workshop on Biomedical infOrmatics with Optimization and Machine learning (BOOM)","Stockholm, Sweden"
"BRACIS  2018","7th Brazilian Conference on Intelligent Systems","S<U+00E3>o Paulo, SP, BRAZIL"
"IBERAMIA  2018","16th Ibero-American Conference on Artificial Intelligence","Trujillo, Peru"
"ICCIA--Ei and Scopus 2018","2018 the 3rd IEEE International Conference on Computational Intelligence and Applications (ICCIA 2018)--Ei Compendex and Scopus","Hong Kong"
"CD 2018","The 2018 ACM SIGKDD Workshop on Causal Discovery ","London"
"ML4PL 2018","The 2nd International Workshop on Machine Learning Techniques for Programming Languages  ","Amsterdam, Netherlands"
"DADE 2018","Deployment Areas of Dynamic Environments","Greece, Thessaloniki"
"MLG 2018","14th International Workshop on Mining and Learning with Graphs","London, UK"
